  Time                 , V(VO)                
  1.000000000002e-003  ,3.691281371367e-001  
  1.000000067998e-003  ,3.689382696684e-001  
  1.000000203994e-003  ,3.685585916519e-001  
  1.000000475987e-003  ,3.677993754580e-001  
  1.000001019973e-003  ,3.662817820376e-001  
  1.000002107944e-003  ,3.632499503563e-001  
  1.000004283886e-003  ,3.571997010482e-001  
  1.000008635770e-003  ,3.451528186201e-001  
  1.000015635771e-003  ,3.259251749453e-001  
  1.000022635772e-003  ,3.068818246763e-001  
  1.000029635773e-003  ,2.880224986572e-001  
  1.000036635774e-003  ,2.693467260034e-001  
  1.000043635775e-003  ,2.508541034878e-001  
  1.000050635777e-003  ,2.325442281488e-001  
  1.000057635778e-003  ,2.144166971969e-001  
  1.000064635779e-003  ,1.964710411028e-001  
  1.000071635780e-003  ,1.787069917196e-001  
  1.000078635781e-003  ,1.611240799729e-001  
  1.000085635782e-003  ,1.437219041397e-001  
  1.000092635783e-003  ,1.264999958211e-001  
  1.000099635784e-003  ,1.094580875313e-001  
  1.000106635785e-003  ,9.259571136362e-002  
  1.000113635786e-003  ,7.591246658153e-002  
  1.000120635788e-003  ,5.940795269461e-002  
  1.000127635789e-003  ,4.308170281905e-002  
  1.000134635790e-003  ,2.693336152700e-002  
  1.000141635791e-003  ,1.096264022907e-002  
  1.000148635792e-003  ,-4.830949258271e-003  
  1.000155635793e-003  ,-2.044780619139e-002  
  1.000162635794e-003  ,-3.588832972408e-002  
  1.000169635795e-003  ,-5.115291853194e-002  
  1.000176635796e-003  ,-6.624197093080e-002  
  1.000183635797e-003  ,-8.115588510384e-002  
  1.000190635799e-003  ,-9.589505894967e-002  
  1.000197635800e-003  ,-1.104598900145e-001  
  1.000204635801e-003  ,-1.248508418101e-001  
  1.000211635802e-003  ,-1.390681790389e-001  
  1.000218635803e-003  ,-1.531123647128e-001  
  1.000225635804e-003  ,-1.669837953311e-001  
  1.000232635805e-003  ,-1.806828671443e-001  
  1.000239635806e-003  ,-1.942099761257e-001  
  1.000246635807e-003  ,-2.075655838601e-001  
  1.000253635808e-003  ,-2.207499539230e-001  
  1.000260635810e-003  ,-2.337636131944e-001  
  1.000267635811e-003  ,-2.466068248847e-001  
  1.000274635812e-003  ,-2.592800494224e-001  
  1.000281635813e-003  ,-2.717836811058e-001  
  1.000288635814e-003  ,-2.841181139513e-001  
  1.000295635815e-003  ,-2.962838072589e-001  
  1.000302635816e-003  ,-3.082810232997e-001  
  1.000309635817e-003  ,-3.201102208355e-001  
  1.000316635818e-003  ,-3.317717927415e-001  
  1.000323635819e-003  ,-3.432661316531e-001  
  1.000330635821e-003  ,-3.545936298660e-001  
  1.000337635822e-003  ,-3.657546793753e-001  
  1.000344635823e-003  ,-3.767496718935e-001  
  1.000351635824e-003  ,-3.875789987531e-001  
  1.000358635825e-003  ,-3.982431162082e-001  
  1.000365635826e-003  ,-4.087422848527e-001  
  1.000372635827e-003  ,-4.190769605084e-001  
  1.000379635828e-003  ,-4.292475334384e-001  
  1.000386635829e-003  ,-4.392544585230e-001  
  1.000393635830e-003  ,-4.490979955180e-001  
  1.000400635832e-003  ,-4.587785987944e-001  
  1.000407635833e-003  ,-4.682966574236e-001  
  1.000414635834e-003  ,-4.776525601746e-001  
  1.000421635835e-003  ,-4.868466955133e-001  
  1.000428635836e-003  ,-4.958794515964e-001  
  1.000435635837e-003  ,-5.047512808959e-001  
  1.000442635838e-003  ,-5.134624417602e-001  
  1.000449635839e-003  ,-5.220133860824e-001  
  1.000456635840e-003  ,-5.304045008142e-001  
  1.000463635841e-003  ,-5.386361726051e-001  
  1.000470635843e-003  ,-5.467088521225e-001  
  1.000477635844e-003  ,-5.546227966892e-001  
  1.000484635845e-003  ,-5.623784564100e-001  
  1.000491635846e-003  ,-5.699762808709e-001  
  1.000498635847e-003  ,-5.774165267714e-001  
  1.000505635848e-003  ,-5.846996431257e-001  
  1.000512635849e-003  ,-5.918260784267e-001  
  1.000519635850e-003  ,-5.987960887517e-001  
  1.000526635851e-003  ,-6.056101220226e-001  
  1.000533635852e-003  ,-6.122685617739e-001  
  1.000540635854e-003  ,-6.187717912066e-001  
  1.000547635855e-003  ,-6.251201932109e-001  
  1.000554635856e-003  ,-6.313141503562e-001  
  1.000561635857e-003  ,-6.373540447906e-001  
  1.000568635858e-003  ,-6.432402584327e-001  
  1.000575635859e-003  ,-6.489731730522e-001  
  1.000582635860e-003  ,-6.545531699800e-001  
  1.000589635861e-003  ,-6.599806301472e-001  
  1.000596635862e-003  ,-6.652559342199e-001  
  1.000603635863e-003  ,-6.703794625551e-001  
  1.000610635865e-003  ,-6.753515951637e-001  
  1.000617635866e-003  ,-6.801727117050e-001  
  1.000624635867e-003  ,-6.848431915417e-001  
  1.000631635868e-003  ,-6.893634768054e-001  
  1.000638635869e-003  ,-6.937339040143e-001  
  1.000645635870e-003  ,-6.979547464336e-001  
  1.000652635871e-003  ,-7.020264662534e-001  
  1.000659635872e-003  ,-7.059495040529e-001  
  1.000666635873e-003  ,-7.097241113872e-001  
  1.000673635874e-003  ,-7.133507282580e-001  
  1.000680635876e-003  ,-7.168297313749e-001  
  1.000687635877e-003  ,-7.201614971033e-001  
  1.000694635878e-003  ,-7.233464014787e-001  
  1.000701635879e-003  ,-7.263848202015e-001  
  1.000708635880e-003  ,-7.292771286366e-001  
  1.000715635881e-003  ,-7.320237642493e-001  
  1.000722635882e-003  ,-7.346249767968e-001  
  1.000729635883e-003  ,-7.370812031245e-001  
  1.000736635884e-003  ,-7.393928172377e-001  
  1.000743635885e-003  ,-7.415601928071e-001  
  1.000750635887e-003  ,-7.435837031635e-001  
  1.000757635888e-003  ,-7.454637212877e-001  
  1.000764635889e-003  ,-7.472006198211e-001  
  1.000771635890e-003  ,-7.487947710084e-001  
  1.000778635891e-003  ,-7.502465466590e-001  
  1.000785635892e-003  ,-7.515563184017e-001  
  1.000792635893e-003  ,-7.527244577097e-001  
  1.000799635894e-003  ,-7.537513972358e-001  
  1.000806635895e-003  ,-7.546373839389e-001  
  1.000813635896e-003  ,-7.553829114900e-001  
  1.000820635898e-003  ,-7.559882264575e-001  
  1.000827635899e-003  ,-7.564538215840e-001  
  1.000834635900e-003  ,-7.567799429323e-001  
  1.000841635901e-003  ,-7.569670208913e-001  
  1.000848635902e-003  ,-7.570154239388e-001  
  1.000855635903e-003  ,-7.569255201906e-001  
  1.000862635904e-003  ,-7.566976774015e-001  
  1.000869635905e-003  ,-7.563323241462e-001  
  1.000876635906e-003  ,-7.558297050869e-001  
  1.000883635907e-003  ,-7.551902481440e-001  
  1.000890635909e-003  ,-7.544143196479e-001  
  1.000897635910e-003  ,-7.535022855640e-001  
  1.000904635911e-003  ,-7.524545724021e-001  
  1.000911635912e-003  ,-7.512714236426e-001  
  1.000918635913e-003  ,-7.499532651292e-001  
  1.000925635914e-003  ,-7.485004614073e-001  
  1.000932635915e-003  ,-7.469134372820e-001  
