  Time                 , V(VO)                
  1.000000000002e-003  ,1.118877670176e-001  
  1.000000080003e-003  ,1.118959020789e-001  
  1.000000240004e-003  ,1.119121291549e-001  
  1.000000560006e-003  ,1.119443766977e-001  
  1.000001200011e-003  ,1.120080225011e-001  
  1.000002480021e-003  ,1.121318721183e-001  
  1.000005040040e-003  ,1.123658116977e-001  
  1.000010160079e-003  ,1.127787185978e-001  
  1.000015200012e-003  ,1.131136826696e-001  
  1.000017120028e-003  ,1.132226520967e-001  
  1.000020960057e-003  ,1.134094632298e-001  
  1.000022457810e-003  ,1.134709871522e-001  
  1.000024771215e-003  ,1.135533318238e-001  
  1.000026416117e-003  ,1.136024985182e-001  
  1.000029010782e-003  ,1.136643650844e-001  
  1.000031128982e-003  ,1.137009633379e-001  
  1.000032601775e-003  ,1.137191544915e-001  
  1.000034599276e-003  ,1.137344335732e-001  
  1.000036550583e-003  ,1.137389337043e-001  
  1.000038258256e-003  ,1.137343828903e-001  
  1.000039971890e-003  ,1.137217915086e-001  
  1.000041459398e-003  ,1.137043044953e-001  
  1.000043654339e-003  ,1.136673967507e-001  
  1.000045777382e-003  ,1.136192689382e-001  
  1.000047759237e-003  ,1.135634225478e-001  
  1.000051182033e-003  ,1.134423130884e-001  
  1.000054523246e-003  ,1.132940166985e-001  
  1.000057844343e-003  ,1.131172286168e-001  
  1.000060858475e-003  ,1.129314516876e-001  
  1.000065760212e-003  ,1.125779972979e-001  
  1.000071108239e-003  ,1.121202133789e-001  
  1.000076389210e-003  ,1.115954296222e-001  
  1.000081650810e-003  ,1.110009825278e-001  
  1.000087555395e-003  ,1.102565343629e-001  
  1.000092723118e-003  ,1.095738665838e-001  
  1.000096578048e-003  ,1.090762683239e-001  
  1.000101512568e-003  ,1.084847354688e-001  
  1.000105001675e-003  ,1.081032518446e-001  
  1.000108765708e-003  ,1.077281807810e-001  
  1.000113290446e-003  ,1.073284471962e-001  
  1.000118778543e-003  ,1.069191401135e-001  
  1.000124078141e-003  ,1.066027233877e-001  
  1.000129684703e-003  ,1.063524833339e-001  
  1.000132881002e-003  ,1.062487200974e-001  
  1.000138167189e-003  ,1.061389846993e-001  
  1.000142002003e-003  ,1.061074627415e-001  
  1.000145487385e-003  ,1.061138110400e-001  
  1.000152170556e-003  ,1.062190470260e-001  
  1.000159170557e-003  ,1.064602159895e-001  
  1.000166170558e-003  ,1.068351214669e-001  
  1.000173170559e-003  ,1.073432535616e-001  
  1.000180170560e-003  ,1.079842850697e-001  
  1.000187170561e-003  ,1.087578787711e-001  
  1.000194170562e-003  ,1.096637756765e-001  
  1.000201170563e-003  ,1.107014759563e-001  
  1.000208170564e-003  ,1.118706609666e-001  
  1.000215170565e-003  ,1.131710740400e-001  
  1.000222170566e-003  ,1.146022237802e-001  
  1.000229170567e-003  ,1.161638748492e-001  
  1.000236170568e-003  ,1.178555558679e-001  
  1.000243170569e-003  ,1.196770310174e-001  
  1.000250170570e-003  ,1.216278881423e-001  
  1.000257170571e-003  ,1.237077162413e-001  
  1.000264170572e-003  ,1.259162808928e-001  
  1.000271170573e-003  ,1.282531134882e-001  
  1.000278170574e-003  ,1.307179013928e-001  
  1.000285170575e-003  ,1.333103905861e-001  
  1.000292170576e-003  ,1.360301521064e-001  
  1.000299170577e-003  ,1.388767782419e-001  
  1.000306170578e-003  ,1.418499577231e-001  
  1.000313170579e-003  ,1.449494374848e-001  
  1.000320170580e-003  ,1.481747902227e-001  
  1.000327170581e-003  ,1.515256097910e-001  
  1.000334170582e-003  ,1.550015863724e-001  
  1.000341170583e-003  ,1.586023844486e-001  
  1.000348170584e-003  ,1.623277462603e-001  
  1.000355170585e-003  ,1.661771826887e-001  
  1.000362170586e-003  ,1.701503853509e-001  
  1.000369170587e-003  ,1.742470203880e-001  
  1.000376170588e-003  ,1.784668311826e-001  
  1.000383170589e-003  ,1.828093305935e-001  
  1.000390170590e-003  ,1.872742882173e-001  
  1.000397170591e-003  ,1.918612436098e-001  
  1.000404170592e-003  ,1.965699668350e-001  
  1.000411170593e-003  ,2.014000557509e-001  
  1.000418170594e-003  ,2.063511089242e-001  
  1.000425170595e-003  ,2.114228972473e-001  
  1.000432170596e-003  ,2.166150199269e-001  
  1.000439170597e-003  ,2.219270766314e-001  
  1.000446170598e-003  ,2.273587628553e-001  
  1.000453170599e-003  ,2.329098314011e-001  
  1.000460170600e-003  ,2.385798641507e-001  
  1.000467170601e-003  ,2.443684625484e-001  
  1.000474170602e-003  ,2.502753991635e-001  
  1.000481170603e-003  ,2.563002762952e-001  
  1.000488170604e-003  ,2.624426967573e-001  
  1.000495170605e-003  ,2.687023582468e-001  
  1.000504392934e-003  ,2.771290530949e-001  
  1.000513892935e-003  ,2.859582320360e-001  
  1.000520892936e-003  ,2.924123409366e-001  
  1.000527892937e-003  ,2.987548033326e-001  
  1.000534240086e-003  ,3.043878009115e-001  
  1.000538433273e-003  ,3.080441603050e-001  
  1.000542280753e-003  ,3.113522738166e-001  
  1.000545818289e-003  ,3.143539072685e-001  
  1.000549680670e-003  ,3.175871358499e-001  
  1.000553470035e-003  ,3.207143889522e-001  
  1.000558718969e-003  ,3.249726878080e-001  
  1.000563911279e-003  ,3.291012068588e-001  
  1.000568820466e-003  ,3.329281605529e-001  
  1.000575820467e-003  ,3.382567894348e-001  
  1.000581657252e-003  ,3.425849784684e-001  
  1.000587939581e-003  ,3.471269298742e-001  
  1.000594233832e-003  ,3.515565048100e-001  
  1.000600595138e-003  ,3.559105080229e-001  
  1.000607595139e-003  ,3.605593983651e-001  
  1.000614595140e-003  ,3.650595773532e-001  
  1.000621595141e-003  ,3.694114117989e-001  
  1.000628595142e-003  ,3.736152735418e-001  
  1.000635595143e-003  ,3.776715365268e-001  
  1.000642595144e-003  ,3.815805747362e-001  
  1.000649595145e-003  ,3.853427614813e-001  
