  Time                 , V(VO)                
  1.000000000003e-003  ,-1.206627160196e+001  
  1.000000080004e-003  ,-1.206603696212e+001  
  1.000000240005e-003  ,-1.206556764017e+001  
  1.000000560007e-003  ,-1.206462879337e+001  
  1.000001200012e-003  ,-1.206275026130e+001  
  1.000002480022e-003  ,-1.205898982651e+001  
  1.000005040041e-003  ,-1.205145544937e+001  
  1.000010160080e-003  ,-1.203633275778e+001  
  1.000017160082e-003  ,-1.201554125050e+001  
  1.000024160083e-003  ,-1.199461600377e+001  
  1.000031160085e-003  ,-1.197355733853e+001  
  1.000038160086e-003  ,-1.195236580143e+001  
  1.000045160088e-003  ,-1.193104184057e+001  
  1.000052160089e-003  ,-1.190958597674e+001  
  1.000059160091e-003  ,-1.188799850843e+001  
  1.000066160092e-003  ,-1.186628003199e+001  
  1.000073160094e-003  ,-1.184443084486e+001  
  1.000080160095e-003  ,-1.182245154149e+001  
  1.000087160097e-003  ,-1.180034251749e+001  
  1.000094160098e-003  ,-1.177810409384e+001  
  1.000101160100e-003  ,-1.175573681320e+001  
  1.000108160101e-003  ,-1.173324119247e+001  
  1.000115160103e-003  ,-1.171061762501e+001  
  1.000124660104e-003  ,-1.167970888753e+001  
  1.000131660106e-003  ,-1.165679605071e+001  
  1.000138660107e-003  ,-1.163389280245e+001  
  1.000145660109e-003  ,-1.161107808735e+001  
  1.000152660110e-003  ,-1.158838558484e+001  
  1.000159660112e-003  ,-1.156582693182e+001  
  1.000166660113e-003  ,-1.154340654012e+001  
  1.000173660115e-003  ,-1.152112645015e+001  
  1.000180660116e-003  ,-1.149898764944e+001  
  1.000187660118e-003  ,-1.147699040594e+001  
  1.000194660119e-003  ,-1.145513453667e+001  
  1.000201660121e-003  ,-1.143341980465e+001  
  1.000208660122e-003  ,-1.141184581140e+001  
  1.000215660124e-003  ,-1.139041234732e+001  
  1.000222660125e-003  ,-1.136911922576e+001  
  1.000229660127e-003  ,-1.134796605741e+001  
  1.000236660128e-003  ,-1.132695264806e+001  
  1.000243660130e-003  ,-1.130607862673e+001  
  1.000250660131e-003  ,-1.128534375323e+001  
  1.000257660133e-003  ,-1.126474782902e+001  
  1.000264660134e-003  ,-1.124429051584e+001  
  1.000271660136e-003  ,-1.122397153656e+001  
  1.000278660137e-003  ,-1.120379057085e+001  
  1.000285660139e-003  ,-1.118374737391e+001  
  1.000292660140e-003  ,-1.116384174659e+001  
  1.000299660142e-003  ,-1.114407335199e+001  
  1.000306660143e-003  ,-1.112444186904e+001  
  1.000313660145e-003  ,-1.110494711445e+001  
  1.000320660146e-003  ,-1.108558876747e+001  
  1.000327660148e-003  ,-1.106636655314e+001  
  1.000334660149e-003  ,-1.104728019662e+001  
  1.000341660151e-003  ,-1.102832942330e+001  
  1.000348660152e-003  ,-1.100951395863e+001  
  1.000355660154e-003  ,-1.099083348244e+001  
  1.000362660155e-003  ,-1.097228781187e+001  
  1.000369660157e-003  ,-1.095387662702e+001  
  1.000379160158e-003  ,-1.092910569875e+001  
  1.000386160160e-003  ,-1.091100898334e+001  
  1.000393160161e-003  ,-1.089297227626e+001  
  1.000398772684e-003  ,-1.087845614168e+001  
  1.000404672053e-003  ,-1.086311990932e+001  
  1.000411672055e-003  ,-1.084480869590e+001  
  1.000416172951e-003  ,-1.083296448343e+001  
  1.000421525448e-003  ,-1.081880705646e+001  
  1.000428525449e-003  ,-1.080017324668e+001  
  1.000435525451e-003  ,-1.078140501129e+001  
  1.000442525452e-003  ,-1.076250302311e+001  
  1.000449525454e-003  ,-1.074346785041e+001  
  1.000456525455e-003  ,-1.072430018141e+001  
  1.000463525457e-003  ,-1.070500024705e+001  
  1.000470525458e-003  ,-1.068556845317e+001  
  1.000477525460e-003  ,-1.066600527216e+001  
  1.000484525461e-003  ,-1.064631115860e+001  
  1.000491525463e-003  ,-1.062648643665e+001  
  1.000498525464e-003  ,-1.060653164100e+001  
  1.000505525466e-003  ,-1.058644727991e+001  
  1.000512525467e-003  ,-1.056623374477e+001  
  1.000519525469e-003  ,-1.054589134945e+001  
  1.000526525470e-003  ,-1.052542069472e+001  
  1.000533525472e-003  ,-1.050482216536e+001  
  1.000540525473e-003  ,-1.048409607446e+001  
  1.000547525475e-003  ,-1.046324295111e+001  
  1.000554525476e-003  ,-1.044226322649e+001  
  1.000561525478e-003  ,-1.042115740306e+001  
  1.000570476605e-003  ,-1.039398354616e+001  
