Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00004096000,0.00800,
Vertical Scale,CH1:0.05,,-0.00004095600,0.00200,
Vertical Offset,CH1:-0.14900,,-0.00004095200,0.01600,
Horizontal Units,s,,-0.00004094800,-0.00400,
Horizontal Scale,0.0000010000,,-0.00004094400,0.01600,
Model Number,SDS1072CML+,,-0.00004094000,0.00,
Serial Number,SDS10BA3163351,,-0.00004093600,0.01200,
Software Version,6.01.01.16,,-0.00004093200,0.01000,
,,,-0.00004092800,0.00200,
,,,-0.00004092400,0.01600,
,,,-0.00004092000,-0.00200,
,,,-0.00004091600,0.02000,
,,,-0.00004091200,-0.00400,
,,,-0.00004090800,0.01200,
,,,-0.00004090400,0.00600,
,,,-0.00004090000,0.00400,
,,,-0.00004089600,0.01800,
,,,-0.00004089200,-0.00600,
,,,-0.00004088800,0.02000,
,,,-0.00004088400,-0.00400,
,,,-0.00004088000,0.01400,
,,,-0.00004087600,0.00800,
,,,-0.00004087200,0.00200,
,,,-0.00004086800,0.01800,
,,,-0.00004086400,-0.00400,
,,,-0.00004086000,0.01800,
,,,-0.00004085600,0.00,
,,,-0.00004085200,0.01400,
,,,-0.00004084800,0.00800,
,,,-0.00004084400,0.00400,
,,,-0.00004084000,0.01600,
,,,-0.00004083600,0.00200,
,,,-0.00004083200,0.02000,
,,,-0.00004082800,-0.00200,
,,,-0.00004082400,0.01400,
,,,-0.00004082000,0.00600,
,,,-0.00004081600,0.00800,
,,,-0.00004081200,0.01400,
,,,-0.00004080800,0.00200,
,,,-0.00004080400,0.01800,
,,,-0.00004080000,-0.00200,
,,,-0.00004079600,0.01800,
,,,-0.00004079200,0.00400,
,,,-0.00004078800,0.01000,
,,,-0.00004078400,0.01400,
,,,-0.00004078000,0.00200,
,,,-0.00004077600,0.02200,
,,,-0.00004077200,-0.00200,
,,,-0.00004076800,0.02000,
,,,-0.00004076400,0.00400,
,,,-0.00004076000,0.01000,
,,,-0.00004075600,0.01600,
,,,-0.00004075200,-0.00200,
,,,-0.00004074800,0.02200,
,,,-0.00004074400,-0.00200,
,,,-0.00004074000,0.01800,
,,,-0.00004073600,0.00600,
,,,-0.00004073200,0.01000,
,,,-0.00004072800,0.01600,
,,,-0.00004072400,0.00200,
,,,-0.00004072000,0.01800,
,,,-0.00004071600,0.00200,
,,,-0.00004071200,0.01800,
,,,-0.00004070800,0.00400,
,,,-0.00004070400,0.01200,
,,,-0.00004070000,0.01200,
,,,-0.00004069600,0.00400,
,,,-0.00004069200,0.02000,
,,,-0.00004068800,0.00,
,,,-0.00004068400,0.01800,
,,,-0.00004068000,0.00200,
,,,-0.00004067600,0.01200,
,,,-0.00004067200,0.01200,
,,,-0.00004066800,0.00400,
,,,-0.00004066400,0.01800,
,,,-0.00004066000,0.00,
,,,-0.00004065600,0.01800,
,,,-0.00004065200,0.00,
,,,-0.00004064800,0.01400,
,,,-0.00004064400,0.00800,
,,,-0.00004064000,0.00600,
,,,-0.00004063600,0.01800,
,,,-0.00004063200,-0.00400,
,,,-0.00004062800,0.02200,
,,,-0.00004062400,0.00,
,,,-0.00004062000,0.01400,
,,,-0.00004061600,0.01200,
,,,-0.00004061200,0.00,
,,,-0.00004060800,0.02000,
,,,-0.00004060400,-0.00200,
,,,-0.00004060000,0.01800,
,,,-0.00004059600,0.00200,
,,,-0.00004059200,0.01200,
,,,-0.00004058800,0.01200,
,,,-0.00004058400,0.00400,
,,,-0.00004058000,0.01600,
,,,-0.00004057600,0.00,
,,,-0.00004057200,0.02000,
