Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00006932000,0.00800,
Vertical Scale,CH1:0.05,,-0.00006931600,0.00200,
Vertical Offset,CH1:-0.14900,,-0.00006931199,0.01600,
Horizontal Units,s,,-0.00006930800,-0.00400,
Horizontal Scale,0.0000001000,,-0.00006930400,0.01600,
Model Number,SDS1072CML+,,-0.00006930000,0.00,
Serial Number,SDS10BA3163351,,-0.00006929599,0.01200,
Software Version,6.01.01.16,,-0.00006929200,0.01000,
,,,-0.00006928800,0.00200,
,,,-0.00006928400,0.01600,
,,,-0.00006927999,-0.00200,
,,,-0.00006927600,0.02000,
,,,-0.00006927200,-0.00400,
,,,-0.00006926800,0.01200,
,,,-0.00006926400,0.00600,
,,,-0.00006926000,0.00400,
,,,-0.00006925600,0.01800,
,,,-0.00006925200,-0.00600,
,,,-0.00006924800,0.02000,
,,,-0.00006924400,-0.00400,
,,,-0.00006924000,0.01400,
,,,-0.00006923600,0.00800,
,,,-0.00006923200,0.00200,
,,,-0.00006922800,0.01800,
,,,-0.00006922400,-0.00400,
,,,-0.00006922000,0.01800,
,,,-0.00006921600,0.00,
,,,-0.00006921200,0.01400,
,,,-0.00006920800,0.00800,
,,,-0.00006920400,0.00400,
,,,-0.00006920000,0.01600,
,,,-0.00006919600,0.00200,
,,,-0.00006919200,0.02000,
,,,-0.00006918800,-0.00200,
,,,-0.00006918400,0.01400,
,,,-0.00006918000,0.00600,
,,,-0.00006917600,0.00800,
,,,-0.00006917200,0.01400,
,,,-0.00006916800,0.00200,
,,,-0.00006916400,0.01800,
,,,-0.00006916000,-0.00200,
,,,-0.00006915600,0.01800,
,,,-0.00006915200,0.00400,
,,,-0.00006914799,0.01000,
,,,-0.00006914400,0.01400,
,,,-0.00006914000,0.00200,
,,,-0.00006913600,0.02200,
,,,-0.00006913199,-0.00200,
,,,-0.00006912800,0.02000,
,,,-0.00006912400,0.00400,
,,,-0.00006912000,0.01000,
,,,-0.00006911599,0.01600,
,,,-0.00006911200,-0.00200,
