Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00004096000,4.72000,
Vertical Scale,CH1:2.00,,-0.00004095600,4.72000,
Vertical Offset,CH1:-6.08000,,-0.00004095200,4.64000,
Horizontal Units,s,,-0.00004094800,4.64000,
Horizontal Scale,0.0000010000,,-0.00004094400,4.72000,
Model Number,SDS1072CML+,,-0.00004094000,4.72000,
Serial Number,SDS10BA3163351,,-0.00004093600,4.64000,
Software Version,6.01.01.16,,-0.00004093200,4.64000,
,,,-0.00004092800,4.64000,
,,,-0.00004092400,4.64000,
,,,-0.00004092000,4.72000,
,,,-0.00004091600,4.56000,
,,,-0.00004091200,4.56000,
,,,-0.00004090800,4.56000,
,,,-0.00004090400,4.64000,
,,,-0.00004090000,4.56000,
,,,-0.00004089600,4.48000,
,,,-0.00004089200,4.48000,
,,,-0.00004088800,4.56000,
,,,-0.00004088400,4.56000,
,,,-0.00004088000,4.48000,
,,,-0.00004087600,4.48000,
,,,-0.00004087200,4.48000,
,,,-0.00004086800,4.48000,
,,,-0.00004086400,4.48000,
,,,-0.00004086000,4.40000,
,,,-0.00004085600,4.40000,
,,,-0.00004085200,4.32000,
,,,-0.00004084800,4.40000,
,,,-0.00004084400,4.40000,
,,,-0.00004084000,4.40000,
,,,-0.00004083600,4.40000,
,,,-0.00004083200,4.32000,
,,,-0.00004082800,4.40000,
,,,-0.00004082400,4.40000,
,,,-0.00004082000,4.40000,
,,,-0.00004081600,4.32000,
,,,-0.00004081200,4.24000,
,,,-0.00004080800,4.32000,
,,,-0.00004080400,4.32000,
,,,-0.00004080000,4.32000,
,,,-0.00004079600,4.24000,
,,,-0.00004079200,4.24000,
,,,-0.00004078800,4.24000,
,,,-0.00004078400,4.24000,
,,,-0.00004078000,4.24000,
,,,-0.00004077600,4.16000,
,,,-0.00004077200,4.16000,
,,,-0.00004076800,4.16000,
,,,-0.00004076400,4.16000,
,,,-0.00004076000,4.16000,
,,,-0.00004075600,4.16000,
,,,-0.00004075200,4.16000,
,,,-0.00004074800,4.16000,
,,,-0.00004074400,4.16000,
,,,-0.00004074000,4.08000,
,,,-0.00004073600,4.08000,
,,,-0.00004073200,4.00000,
,,,-0.00004072800,4.08000,
,,,-0.00004072400,4.16000,
,,,-0.00004072000,4.08000,
,,,-0.00004071600,4.00000,
,,,-0.00004071200,4.00000,
,,,-0.00004070800,4.00000,
,,,-0.00004070400,4.08000,
,,,-0.00004070000,4.00000,
,,,-0.00004069600,4.00000,
,,,-0.00004069200,4.00000,
,,,-0.00004068800,3.92000,
,,,-0.00004068400,4.00000,
,,,-0.00004068000,3.92000,
,,,-0.00004067600,3.92000,
,,,-0.00004067200,3.84000,
,,,-0.00004066800,3.92000,
,,,-0.00004066400,3.92000,
,,,-0.00004066000,3.92000,
,,,-0.00004065600,3.84000,
,,,-0.00004065200,3.84000,
,,,-0.00004064800,3.84000,
,,,-0.00004064400,3.92000,
,,,-0.00004064000,3.84000,
,,,-0.00004063600,3.84000,
,,,-0.00004063200,3.84000,
,,,-0.00004062800,3.76000,
,,,-0.00004062400,3.84000,
,,,-0.00004062000,3.76000,
,,,-0.00004061600,3.76000,
,,,-0.00004061200,3.76000,
,,,-0.00004060800,3.76000,
,,,-0.00004060400,3.84000,
,,,-0.00004060000,3.76000,
,,,-0.00004059600,3.76000,
,,,-0.00004059200,3.68000,
,,,-0.00004058800,3.68000,
,,,-0.00004058400,3.76000,
,,,-0.00004058000,3.76000,
,,,-0.00004057600,3.68000,
,,,-0.00004057200,3.68000,
,,,-0.00004056800,3.60000,
,,,-0.00004056400,3.68000,
,,,-0.00004056000,3.60000,
,,,-0.00004055600,3.68000,
,,,-0.00004055200,3.52000,
,,,-0.00004054800,3.60000,
,,,-0.00004054400,3.60000,
,,,-0.00004054000,3.52000,
,,,-0.00004053600,3.60000,
,,,-0.00004053200,3.52000,
,,,-0.00004052800,3.52000,
,,,-0.00004052400,3.52000,
,,,-0.00004052000,3.52000,
,,,-0.00004051600,3.52000,
,,,-0.00004051200,3.44000,
,,,-0.00004050800,3.44000,
,,,-0.00004050400,3.44000,
,,,-0.00004050000,3.44000,
,,,-0.00004049600,3.44000,
,,,-0.00004049200,3.36000,
,,,-0.00004048800,3.36000,
,,,-0.00004048400,3.44000,
,,,-0.00004048000,3.44000,
,,,-0.00004047600,3.36000,
,,,-0.00004047200,3.36000,
,,,-0.00004046800,3.36000,
,,,-0.00004046400,3.44000,
,,,-0.00004046000,3.28000,
,,,-0.00004045600,3.28000,
,,,-0.00004045200,3.28000,
,,,-0.00004044800,3.28000,
,,,-0.00004044400,3.36000,
,,,-0.00004044000,3.20000,
,,,-0.00004043600,3.20000,
,,,-0.00004043200,3.20000,
,,,-0.00004042800,3.28000,
,,,-0.00004042400,3.28000,
,,,-0.00004042000,3.20000,
,,,-0.00004041600,3.20000,
,,,-0.00004041200,3.12000,
,,,-0.00004040800,3.20000,
,,,-0.00004040400,3.12000,
,,,-0.00004040000,3.12000,
,,,-0.00004039600,3.20000,
,,,-0.00004039200,3.12000,
,,,-0.00004038800,3.12000,
,,,-0.00004038400,3.04000,
,,,-0.00004038000,3.04000,
,,,-0.00004037600,3.12000,
,,,-0.00004037200,3.04000,
,,,-0.00004036800,3.04000,
,,,-0.00004036400,3.04000,
,,,-0.00004036000,3.04000,
,,,-0.00004035600,3.04000,
,,,-0.00004035200,2.96000,
,,,-0.00004034800,3.04000,
,,,-0.00004034400,2.96000,
,,,-0.00004034000,2.88000,
,,,-0.00004033600,3.04000,
,,,-0.00004033200,2.88000,
,,,-0.00004032800,2.96000,
,,,-0.00004032400,2.88000,
,,,-0.00004032000,2.80000,
,,,-0.00004031600,2.96000,
,,,-0.00004031200,2.88000,
,,,-0.00004030800,2.96000,
,,,-0.00004030400,2.80000,
,,,-0.00004030000,2.80000,
,,,-0.00004029600,2.88000,
,,,-0.00004029200,2.88000,
,,,-0.00004028800,2.88000,
,,,-0.00004028400,2.72000,
,,,-0.00004028000,2.80000,
,,,-0.00004027600,2.80000,
,,,-0.00004027200,2.80000,
,,,-0.00004026800,2.96000,
,,,-0.00004026400,2.96000,
,,,-0.00004026000,2.88000,
,,,-0.00004025600,2.88000,
,,,-0.00004025200,2.88000,
,,,-0.00004024800,2.88000,
,,,-0.00004024400,2.80000,
,,,-0.00004024000,2.88000,
,,,-0.00004023600,2.88000,
,,,-0.00004023200,2.80000,
,,,-0.00004022800,2.88000,
,,,-0.00004022400,2.88000,
,,,-0.00004022000,2.88000,
,,,-0.00004021600,2.96000,
,,,-0.00004021200,2.88000,
,,,-0.00004020800,2.96000,
,,,-0.00004020400,2.96000,
,,,-0.00004020000,2.88000,
,,,-0.00004019600,3.04000,
,,,-0.00004019200,2.96000,
,,,-0.00004018800,3.04000,
,,,-0.00004018400,3.04000,
,,,-0.00004018000,3.04000,
,,,-0.00004017600,3.04000,
,,,-0.00004017200,3.04000,
,,,-0.00004016800,3.12000,
,,,-0.00004016400,3.04000,
,,,-0.00004016000,3.04000,
,,,-0.00004015600,3.12000,
,,,-0.00004015200,3.12000,
,,,-0.00004014800,3.12000,
,,,-0.00004014400,3.12000,
,,,-0.00004014000,3.12000,
,,,-0.00004013600,3.20000,
,,,-0.00004013200,3.20000,
,,,-0.00004012800,3.28000,
,,,-0.00004012400,3.12000,
,,,-0.00004012000,3.12000,
,,,-0.00004011600,3.20000,
,,,-0.00004011200,3.20000,
,,,-0.00004010800,3.28000,
,,,-0.00004010400,3.28000,
,,,-0.00004010000,3.20000,
,,,-0.00004009600,3.28000,
,,,-0.00004009200,3.28000,
,,,-0.00004008800,3.28000,
,,,-0.00004008400,3.44000,
,,,-0.00004008000,3.28000,
,,,-0.00004007600,3.36000,
,,,-0.00004007200,3.36000,
,,,-0.00004006800,3.36000,
,,,-0.00004006400,3.44000,
,,,-0.00004006000,3.44000,
,,,-0.00004005600,3.44000,
,,,-0.00004005200,3.36000,
,,,-0.00004004800,3.52000,
,,,-0.00004004400,3.52000,
,,,-0.00004004000,3.52000,
,,,-0.00004003600,3.52000,
,,,-0.00004003200,3.44000,
,,,-0.00004002800,3.52000,
,,,-0.00004002400,3.52000,
,,,-0.00004002000,3.52000,
,,,-0.00004001600,3.52000,
,,,-0.00004001200,3.52000,
,,,-0.00004000800,3.60000,
,,,-0.00004000400,3.60000,
,,,-0.00004000000,3.60000,
,,,-0.00003999600,3.60000,
,,,-0.00003999200,3.60000,
,,,-0.00003998800,3.60000,
,,,-0.00003998400,3.68000,
,,,-0.00003998000,3.60000,
,,,-0.00003997600,3.68000,
,,,-0.00003997200,3.68000,
,,,-0.00003996800,3.68000,
,,,-0.00003996400,3.84000,
,,,-0.00003996000,3.76000,
,,,-0.00003995600,3.76000,
,,,-0.00003995200,3.76000,
,,,-0.00003994800,3.76000,
,,,-0.00003994400,3.84000,
,,,-0.00003994000,3.76000,
,,,-0.00003993600,3.84000,
,,,-0.00003993200,3.76000,
,,,-0.00003992800,3.84000,
,,,-0.00003992400,3.84000,
,,,-0.00003992000,3.84000,
,,,-0.00003991600,3.84000,
,,,-0.00003991200,3.84000,
,,,-0.00003990800,3.92000,
,,,-0.00003990400,3.92000,
,,,-0.00003990000,3.92000,
,,,-0.00003989600,3.84000,
,,,-0.00003989200,3.84000,
,,,-0.00003988800,3.92000,
,,,-0.00003988400,3.92000,
,,,-0.00003988000,4.00000,
,,,-0.00003987600,4.00000,
,,,-0.00003987200,4.00000,
,,,-0.00003986800,4.00000,
,,,-0.00003986400,4.08000,
,,,-0.00003986000,4.00000,
,,,-0.00003985600,4.00000,
,,,-0.00003985200,4.00000,
,,,-0.00003984800,4.00000,
,,,-0.00003984400,4.08000,
,,,-0.00003984000,4.08000,
,,,-0.00003983600,4.16000,
,,,-0.00003983200,4.08000,
,,,-0.00003982800,4.08000,
,,,-0.00003982400,4.16000,
,,,-0.00003982000,4.08000,
,,,-0.00003981600,4.16000,
,,,-0.00003981200,4.08000,
,,,-0.00003980800,4.16000,
,,,-0.00003980400,4.24000,
,,,-0.00003980000,4.16000,
,,,-0.00003979600,4.16000,
,,,-0.00003979200,4.08000,
,,,-0.00003978800,4.24000,
,,,-0.00003978400,4.24000,
,,,-0.00003978000,4.32000,
,,,-0.00003977600,4.24000,
,,,-0.00003977200,4.24000,
,,,-0.00003976800,4.24000,
,,,-0.00003976400,4.32000,
,,,-0.00003976000,4.40000,
,,,-0.00003975600,4.32000,
,,,-0.00003975200,4.32000,
,,,-0.00003974800,4.32000,
,,,-0.00003974400,4.40000,
,,,-0.00003974000,4.40000,
,,,-0.00003973600,4.40000,
,,,-0.00003973200,4.32000,
,,,-0.00003972800,4.40000,
,,,-0.00003972400,4.48000,
,,,-0.00003972000,4.40000,
,,,-0.00003971600,4.40000,
,,,-0.00003971200,4.40000,
,,,-0.00003970800,4.48000,
,,,-0.00003970400,4.48000,
,,,-0.00003970000,4.48000,
,,,-0.00003969600,4.48000,
,,,-0.00003969200,4.48000,
,,,-0.00003968800,4.56000,
,,,-0.00003968400,4.56000,
,,,-0.00003968000,4.48000,
,,,-0.00003967600,4.56000,
,,,-0.00003967200,4.48000,
,,,-0.00003966800,4.56000,
,,,-0.00003966400,4.64000,
,,,-0.00003966000,4.72000,
,,,-0.00003965600,4.64000,
,,,-0.00003965200,4.56000,
,,,-0.00003964800,4.64000,
,,,-0.00003964400,4.64000,
,,,-0.00003964000,4.72000,
,,,-0.00003963600,4.64000,
,,,-0.00003963200,4.64000,
,,,-0.00003962800,4.72000,
,,,-0.00003962400,4.72000,
,,,-0.00003962000,4.72000,
,,,-0.00003961600,4.72000,
,,,-0.00003961200,4.72000,
,,,-0.00003960800,4.80000,
,,,-0.00003960400,4.80000,
,,,-0.00003960000,4.80000,
,,,-0.00003959600,4.80000,
,,,-0.00003959200,4.80000,
,,,-0.00003958800,4.80000,
,,,-0.00003958400,4.88000,
,,,-0.00003958000,4.80000,
,,,-0.00003957600,4.88000,
,,,-0.00003957200,4.80000,
,,,-0.00003956800,4.88000,
,,,-0.00003956400,4.88000,
,,,-0.00003956000,4.88000,
,,,-0.00003955600,4.96000,
,,,-0.00003955200,4.80000,
,,,-0.00003954800,4.96000,
,,,-0.00003954400,4.96000,
,,,-0.00003954000,5.04000,
,,,-0.00003953600,4.96000,
,,,-0.00003953200,4.96000,
,,,-0.00003952800,5.04000,
,,,-0.00003952400,4.96000,
,,,-0.00003952000,5.04000,
,,,-0.00003951600,5.04000,
,,,-0.00003951200,4.96000,
,,,-0.00003950800,5.04000,
,,,-0.00003950400,5.12000,
,,,-0.00003950000,5.04000,
,,,-0.00003949600,5.04000,
,,,-0.00003949200,5.04000,
,,,-0.00003948800,5.12000,
,,,-0.00003948400,5.12000,
,,,-0.00003948000,5.12000,
,,,-0.00003947600,5.12000,
,,,-0.00003947200,5.12000,
,,,-0.00003946800,5.12000,
,,,-0.00003946400,5.20000,
,,,-0.00003946000,5.20000,
,,,-0.00003945600,5.20000,
,,,-0.00003945200,5.20000,
,,,-0.00003944800,5.28000,
,,,-0.00003944400,5.28000,
,,,-0.00003944000,5.28000,
,,,-0.00003943600,5.28000,
,,,-0.00003943200,5.20000,
,,,-0.00003942800,5.28000,
,,,-0.00003942400,5.28000,
,,,-0.00003942000,5.36000,
,,,-0.00003941600,5.36000,
,,,-0.00003941200,5.28000,
,,,-0.00003940800,5.36000,
,,,-0.00003940400,5.36000,
,,,-0.00003940000,5.36000,
,,,-0.00003939600,5.36000,
,,,-0.00003939200,5.36000,
,,,-0.00003938800,5.36000,
,,,-0.00003938400,5.44000,
,,,-0.00003938000,5.44000,
,,,-0.00003937600,5.44000,
,,,-0.00003937200,5.44000,
,,,-0.00003936800,5.44000,
,,,-0.00003936400,5.52000,
,,,-0.00003936000,5.44000,
,,,-0.00003935600,5.44000,
,,,-0.00003935200,5.44000,
,,,-0.00003934800,5.52000,
,,,-0.00003934400,5.60000,
,,,-0.00003934000,5.52000,
,,,-0.00003933600,5.52000,
,,,-0.00003933200,5.52000,
,,,-0.00003932800,5.60000,
,,,-0.00003932400,5.68000,
,,,-0.00003932000,5.60000,
,,,-0.00003931600,5.60000,
,,,-0.00003931200,5.60000,
,,,-0.00003930800,5.68000,
,,,-0.00003930400,5.68000,
,,,-0.00003930000,5.68000,
,,,-0.00003929600,5.68000,
,,,-0.00003929200,5.60000,
,,,-0.00003928800,5.76000,
,,,-0.00003928400,5.76000,
,,,-0.00003928000,5.76000,
,,,-0.00003927600,5.68000,
,,,-0.00003927200,5.68000,
,,,-0.00003926800,5.76000,
,,,-0.00003926400,5.76000,
,,,-0.00003926000,5.84000,
,,,-0.00003925600,5.76000,
,,,-0.00003925200,5.68000,
,,,-0.00003924800,5.76000,
,,,-0.00003924400,5.76000,
,,,-0.00003924000,5.76000,
,,,-0.00003923600,5.76000,
,,,-0.00003923200,5.68000,
,,,-0.00003922800,5.84000,
,,,-0.00003922400,5.84000,
,,,-0.00003922000,5.92000,
,,,-0.00003921600,5.84000,
,,,-0.00003921200,5.76000,
,,,-0.00003920800,5.92000,
,,,-0.00003920400,5.92000,
,,,-0.00003920000,5.92000,
,,,-0.00003919600,5.84000,
,,,-0.00003919200,5.84000,
,,,-0.00003918800,5.92000,
,,,-0.00003918400,5.92000,
,,,-0.00003918000,5.92000,
,,,-0.00003917600,5.92000,
,,,-0.00003917200,5.84000,
,,,-0.00003916800,6.00000,
,,,-0.00003916400,6.00000,
,,,-0.00003916000,6.00000,
,,,-0.00003915600,6.00000,
,,,-0.00003915200,6.00000,
,,,-0.00003914800,6.00000,
,,,-0.00003914400,6.00000,
,,,-0.00003914000,6.00000,
,,,-0.00003913600,6.00000,
,,,-0.00003913200,6.00000,
,,,-0.00003912800,6.08000,
,,,-0.00003912400,6.08000,
,,,-0.00003912000,6.08000,
,,,-0.00003911600,6.08000,
,,,-0.00003911200,6.08000,
,,,-0.00003910800,6.08000,
,,,-0.00003910400,6.16000,
,,,-0.00003910000,6.24000,
,,,-0.00003909600,6.16000,
,,,-0.00003909200,6.16000,
,,,-0.00003908800,6.16000,
,,,-0.00003908400,6.24000,
,,,-0.00003908000,6.24000,
,,,-0.00003907600,6.24000,
,,,-0.00003907200,6.24000,
,,,-0.00003906800,6.24000,
,,,-0.00003906400,6.32000,
,,,-0.00003906000,6.24000,
,,,-0.00003905600,6.32000,
,,,-0.00003905200,6.24000,
,,,-0.00003904800,6.32000,
,,,-0.00003904400,6.40000,
,,,-0.00003904000,6.32000,
,,,-0.00003903600,6.32000,
,,,-0.00003903200,6.32000,
,,,-0.00003902800,6.40000,
,,,-0.00003902400,6.40000,
,,,-0.00003902000,6.40000,
,,,-0.00003901600,6.40000,
,,,-0.00003901200,6.40000,
,,,-0.00003900800,6.40000,
,,,-0.00003900400,6.48000,
,,,-0.00003900000,6.48000,
,,,-0.00003899600,6.48000,
,,,-0.00003899200,6.40000,
,,,-0.00003898800,6.48000,
,,,-0.00003898400,6.56000,
,,,-0.00003898000,6.56000,
,,,-0.00003897600,6.56000,
,,,-0.00003897200,6.48000,
,,,-0.00003896800,6.48000,
,,,-0.00003896400,6.64000,
,,,-0.00003896000,6.56000,
,,,-0.00003895600,6.56000,
,,,-0.00003895200,6.48000,
,,,-0.00003894800,6.64000,
,,,-0.00003894400,6.64000,
,,,-0.00003894000,6.64000,
,,,-0.00003893600,6.64000,
,,,-0.00003893200,6.56000,
,,,-0.00003892800,6.72000,
,,,-0.00003892400,6.72000,
,,,-0.00003892000,6.72000,
,,,-0.00003891600,6.72000,
,,,-0.00003891200,6.64000,
,,,-0.00003890800,6.72000,
,,,-0.00003890400,6.72000,
,,,-0.00003890000,6.72000,
,,,-0.00003889600,6.72000,
,,,-0.00003889200,6.64000,
,,,-0.00003888800,6.80000,
,,,-0.00003888400,6.80000,
,,,-0.00003888000,6.80000,
,,,-0.00003887600,6.80000,
,,,-0.00003887200,6.80000,
,,,-0.00003886800,6.80000,
,,,-0.00003886400,6.88000,
,,,-0.00003886000,6.88000,
,,,-0.00003885600,6.88000,
,,,-0.00003885200,6.80000,
,,,-0.00003884800,6.88000,
,,,-0.00003884400,6.96000,
,,,-0.00003884000,6.88000,
,,,-0.00003883600,6.96000,
,,,-0.00003883200,6.80000,
,,,-0.00003882800,6.96000,
,,,-0.00003882400,6.96000,
,,,-0.00003882000,6.96000,
,,,-0.00003881600,6.96000,
,,,-0.00003881200,6.96000,
,,,-0.00003880800,7.04000,
,,,-0.00003880400,7.04000,
,,,-0.00003880000,7.04000,
,,,-0.00003879600,7.04000,
,,,-0.00003879200,6.96000,
,,,-0.00003878800,7.04000,
,,,-0.00003878400,7.04000,
,,,-0.00003878000,7.12000,
,,,-0.00003877600,7.12000,
,,,-0.00003877200,6.96000,
,,,-0.00003876800,7.12000,
,,,-0.00003876400,7.20000,
,,,-0.00003876000,7.20000,
,,,-0.00003875600,7.12000,
,,,-0.00003875200,7.12000,
,,,-0.00003874800,7.20000,
,,,-0.00003874400,7.20000,
,,,-0.00003874000,7.20000,
,,,-0.00003873600,7.20000,
,,,-0.00003873200,7.20000,
,,,-0.00003872800,7.28000,
,,,-0.00003872400,7.28000,
,,,-0.00003872000,7.20000,
,,,-0.00003871600,7.28000,
,,,-0.00003871200,7.20000,
,,,-0.00003870800,7.28000,
,,,-0.00003870400,7.36000,
,,,-0.00003870000,7.28000,
,,,-0.00003869600,7.36000,
,,,-0.00003869200,7.28000,
,,,-0.00003868800,7.36000,
,,,-0.00003868400,7.36000,
,,,-0.00003868000,7.28000,
,,,-0.00003867600,7.44000,
,,,-0.00003867200,7.28000,
,,,-0.00003866800,7.44000,
,,,-0.00003866400,7.44000,
,,,-0.00003866000,7.52000,
,,,-0.00003865600,7.36000,
,,,-0.00003865200,7.36000,
,,,-0.00003864800,7.44000,
,,,-0.00003864400,7.44000,
,,,-0.00003864000,7.52000,
,,,-0.00003863600,7.52000,
,,,-0.00003863200,7.44000,
,,,-0.00003862800,7.52000,
,,,-0.00003862400,7.60000,
,,,-0.00003862000,7.52000,
,,,-0.00003861600,7.52000,
,,,-0.00003861200,7.52000,
,,,-0.00003860800,7.52000,
,,,-0.00003860400,7.60000,
,,,-0.00003860000,7.60000,
,,,-0.00003859600,7.60000,
,,,-0.00003859200,7.60000,
,,,-0.00003858800,7.60000,
,,,-0.00003858400,7.60000,
,,,-0.00003858000,7.60000,
,,,-0.00003857600,7.68000,
,,,-0.00003857200,7.60000,
,,,-0.00003856800,7.68000,
,,,-0.00003856400,7.76000,
,,,-0.00003856000,7.68000,
,,,-0.00003855600,7.68000,
,,,-0.00003855200,7.68000,
,,,-0.00003854800,7.76000,
,,,-0.00003854400,7.84000,
,,,-0.00003854000,7.76000,
,,,-0.00003853600,7.84000,
,,,-0.00003853200,7.76000,
,,,-0.00003852800,7.76000,
,,,-0.00003852400,7.84000,
,,,-0.00003852000,7.84000,
,,,-0.00003851600,7.84000,
,,,-0.00003851200,7.84000,
,,,-0.00003850800,7.84000,
,,,-0.00003850400,7.92000,
,,,-0.00003850000,7.92000,
,,,-0.00003849600,7.92000,
,,,-0.00003849200,7.84000,
,,,-0.00003848800,7.92000,
,,,-0.00003848400,8.00000,
,,,-0.00003848000,7.92000,
,,,-0.00003847600,7.92000,
,,,-0.00003847200,7.92000,
,,,-0.00003846800,8.00000,
,,,-0.00003846400,8.00000,
,,,-0.00003846000,7.92000,
,,,-0.00003845600,8.00000,
,,,-0.00003845200,8.00000,
,,,-0.00003844800,8.00000,
,,,-0.00003844400,8.16000,
,,,-0.00003844000,8.00000,
,,,-0.00003843600,8.08000,
,,,-0.00003843200,8.00000,
,,,-0.00003842800,8.08000,
,,,-0.00003842400,8.16000,
,,,-0.00003842000,8.16000,
,,,-0.00003841600,8.16000,
,,,-0.00003841200,8.08000,
,,,-0.00003840800,8.16000,
,,,-0.00003840400,8.16000,
,,,-0.00003840000,8.16000,
,,,-0.00003839600,8.16000,
,,,-0.00003839200,8.16000,
,,,-0.00003838800,8.16000,
,,,-0.00003838400,8.24000,
,,,-0.00003838000,8.16000,
,,,-0.00003837600,8.16000,
,,,-0.00003837200,8.32000,
,,,-0.00003836800,8.24000,
,,,-0.00003836400,8.24000,
,,,-0.00003836000,8.24000,
,,,-0.00003835600,8.24000,
,,,-0.00003835200,8.32000,
,,,-0.00003834800,8.32000,
,,,-0.00003834400,8.32000,
,,,-0.00003834000,8.32000,
,,,-0.00003833600,8.40000,
,,,-0.00003833200,8.32000,
,,,-0.00003832800,8.40000,
,,,-0.00003832400,8.32000,
,,,-0.00003832000,8.40000,
,,,-0.00003831600,8.40000,
,,,-0.00003831200,8.40000,
,,,-0.00003830800,8.48000,
,,,-0.00003830400,8.40000,
,,,-0.00003830000,8.48000,
,,,-0.00003829600,8.48000,
,,,-0.00003829200,8.48000,
,,,-0.00003828800,8.48000,
,,,-0.00003828400,8.40000,
,,,-0.00003828000,8.56000,
,,,-0.00003827600,8.48000,
,,,-0.00003827200,8.56000,
,,,-0.00003826800,8.48000,
,,,-0.00003826400,8.48000,
,,,-0.00003826000,8.48000,
,,,-0.00003825600,8.56000,
,,,-0.00003825200,8.64000,
,,,-0.00003824800,8.56000,
,,,-0.00003824400,8.48000,
,,,-0.00003824000,8.56000,
,,,-0.00003823600,8.64000,
,,,-0.00003823200,8.72000,
,,,-0.00003822800,8.64000,
,,,-0.00003822400,8.64000,
,,,-0.00003822000,8.64000,
,,,-0.00003821600,8.72000,
,,,-0.00003821200,8.72000,
,,,-0.00003820800,8.72000,
,,,-0.00003820400,8.72000,
,,,-0.00003820000,8.64000,
,,,-0.00003819600,8.72000,
,,,-0.00003819200,8.80000,
,,,-0.00003818800,8.72000,
,,,-0.00003818400,8.72000,
,,,-0.00003818000,8.80000,
,,,-0.00003817600,8.80000,
,,,-0.00003817200,8.88000,
,,,-0.00003816800,8.88000,
,,,-0.00003816400,8.80000,
,,,-0.00003816000,8.80000,
,,,-0.00003815600,8.88000,
,,,-0.00003815200,8.88000,
,,,-0.00003814800,8.88000,
,,,-0.00003814400,8.80000,
,,,-0.00003814000,8.88000,
,,,-0.00003813600,8.88000,
,,,-0.00003813200,8.96000,
,,,-0.00003812800,8.96000,
,,,-0.00003812400,8.88000,
,,,-0.00003812000,8.88000,
,,,-0.00003811600,8.96000,
,,,-0.00003811200,9.04000,
,,,-0.00003810800,9.04000,
,,,-0.00003810400,9.04000,
,,,-0.00003810000,9.04000,
,,,-0.00003809600,9.04000,
,,,-0.00003809200,9.04000,
,,,-0.00003808800,9.04000,
,,,-0.00003808400,9.04000,
,,,-0.00003808000,9.04000,
,,,-0.00003807600,9.04000,
,,,-0.00003807200,9.12000,
,,,-0.00003806800,9.12000,
,,,-0.00003806400,9.12000,
,,,-0.00003806000,9.12000,
,,,-0.00003805600,9.12000,
,,,-0.00003805200,9.20000,
,,,-0.00003804800,9.20000,
,,,-0.00003804400,9.12000,
,,,-0.00003804000,9.20000,
,,,-0.00003803600,9.20000,
,,,-0.00003803200,9.28000,
,,,-0.00003802800,9.20000,
,,,-0.00003802400,9.20000,
,,,-0.00003802000,9.20000,
,,,-0.00003801600,9.20000,
,,,-0.00003801200,9.28000,
,,,-0.00003800800,9.20000,
,,,-0.00003800400,9.28000,
,,,-0.00003800000,9.28000,
,,,-0.00003799600,9.28000,
,,,-0.00003799200,9.36000,
,,,-0.00003798800,9.28000,
,,,-0.00003798400,9.36000,
,,,-0.00003798000,9.28000,
,,,-0.00003797600,9.36000,
,,,-0.00003797200,9.36000,
,,,-0.00003796800,9.36000,
