X--Trace 1::[I(C2:1) | I(PR2)];Y--Trace 1::[I(C2:1) | I(PR2)];;X--Trace 2::[V(out2) | V(PR1)];Y--Trace 2::[V(out2) | V(PR1)]
1.00005E-05;-0.007348775;;1.00005E-05;10.65533602
1.00015E-05;-0.007348777;;1.00015E-05;10.65199566
1.00025E-05;-0.007348779;;1.00025E-05;10.64865531
1.00035E-05;-0.007348781;;1.00035E-05;10.64531496
1.00045E-05;-0.007348783;;1.00045E-05;10.6419746
1.00055E-05;-0.007348786;;1.00055E-05;10.63863424
1.00065E-05;-0.007348788;;1.00065E-05;10.63529389
1.00075E-05;-0.00734879;;1.00075E-05;10.63195353
1.00085E-05;-0.007348792;;1.00085E-05;10.62861317
1.00095E-05;-0.007348795;;1.00095E-05;10.62527281
1.00105E-05;-0.007348797;;1.00105E-05;10.62193245
1.00115E-05;-0.007348799;;1.00115E-05;10.61859208
1.00125E-05;-0.007348801;;1.00125E-05;10.61525172
1.00135E-05;-0.007348803;;1.00135E-05;10.61191135
1.00145E-05;-0.007348805;;1.00145E-05;10.60857099
1.00155E-05;-0.007348808;;1.00155E-05;10.60523062
1.00165E-05;-0.00734881;;1.00165E-05;10.60189025
1.00175E-05;-0.007348812;;1.00175E-05;10.59854989
1.00185E-05;-0.007348814;;1.00185E-05;10.59520952
1.00195E-05;-0.007348816;;1.00195E-05;10.59186915
1.00205E-05;-0.007348818;;1.00205E-05;10.58852878
1.00215E-05;-0.00734882;;1.00215E-05;10.5851884
1.00225E-05;-0.007348822;;1.00225E-05;10.58184803
1.00235E-05;-0.007348825;;1.00235E-05;10.57850765
1.00245E-05;-0.007348827;;1.00245E-05;10.57516728
1.00255E-05;-0.007348829;;1.00255E-05;10.5718269
1.00265E-05;-0.007348831;;1.00265E-05;10.56848653
1.0027E-05;-0.007348832;;1.0027E-05;10.56681634
1.00275E-05;-0.007348833;;1.00275E-05;10.56514615
1.00276E-05;-0.007348833;;1.00276E-05;10.56491224
1.00277E-05;-0.007348833;;1.00277E-05;10.56444443
1.00278E-05;-0.007348834;;1.00278E-05;10.56404502
1.00279E-05;-0.007348834;;1.00279E-05;10.56377629
1.0028E-05;-0.007348834;;1.0028E-05;10.56352613
1.00281E-05;-0.007348834;;1.00281E-05;10.56302581
1.00283E-05;-0.007348835;;1.00283E-05;10.56247652
1.00286E-05;-0.007348835;;1.00286E-05;10.56137796
1.00293E-05;-0.007348837;;1.00293E-05;10.55918082
1.00303E-05;-0.007348839;;1.00303E-05;10.55584044
1.00313E-05;-0.007348841;;1.00313E-05;10.55250006
1.00323E-05;-0.007348843;;1.00323E-05;10.54915967
1.00333E-05;-0.007348845;;1.00333E-05;10.54581929
1.00343E-05;-0.007348847;;1.00343E-05;10.5424789
1.00352E-05;-0.007348849;;1.00352E-05;10.53930554
1.00362E-05;-0.007348851;;1.00362E-05;10.53596515
1.00372E-05;-0.007348853;;1.00372E-05;10.53262476
1.00382E-05;-0.007348855;;1.00382E-05;10.52928438
1.00392E-05;-0.007348857;;1.00392E-05;10.52594399
1.00402E-05;-0.007348859;;1.00402E-05;10.5226036
1.00412E-05;-0.007348861;;1.00412E-05;10.51926321
1.00422E-05;-0.007348863;;1.00422E-05;10.51592282
1.00432E-05;-0.007348865;;1.00432E-05;10.51258242
1.00442E-05;-0.007348867;;1.00442E-05;10.50924203
1.00452E-05;-0.007348869;;1.00452E-05;10.50590163
1.00462E-05;-0.007348871;;1.00462E-05;10.50256124
1.00472E-05;-0.007348873;;1.00472E-05;10.49922084
1.00482E-05;-0.007348875;;1.00482E-05;10.49588045
1.00492E-05;-0.007348877;;1.00492E-05;10.49254005
1.00502E-05;-0.007348879;;1.00502E-05;10.48919965
1.00512E-05;-0.007348881;;1.00512E-05;10.48585925
1.00522E-05;-0.007348883;;1.00522E-05;10.48251885
1.00532E-05;-0.007348885;;1.00532E-05;10.47917845
1.00542E-05;-0.007348886;;1.00542E-05;10.47583804
1.00552E-05;-0.007348888;;1.00552E-05;10.47249764
1.00562E-05;-0.00734889;;1.00562E-05;10.46915724
1.00572E-05;-0.007348892;;1.00572E-05;10.46581683
